,imdbID,Title,Released,Country,Language,Rated,Runtime,Year,imdbRating,imdbVotes,tomatoConsensus,tomatoFresh,tomatoMeter,tomatoRating,tomatoReviews,tomatoRotten,tomatoUserMeter,tomatoUserRating,tomatoUserReviews,Nominated Oscars,Won Oscars,Other wins,Other nominations,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,N/A,Romance,Sci-Fi,Sport,Thriller,War,Western,wiki_url_new,imdb_link_new,rt_link_new,budget_USD,box_USD,A_mean_age,A_mean_credit,D_mean_age,D_mean_credit,mean_rate
0,tt0369610,Jurassic World,2015-06-12 00:00:00,USA,English,PG-13,124.0,2015,7.2,314481,"Jurassic World can't match the original for sheer inventiveness and impact, but it works in its own right as an entertaining -- and visually dazzling -- popcorn thriller.",194.0,71.0,6.7,274.0,80.0,80.0,3.9,206851.0,0,0,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,/wiki/Jurassic_World,http://www.imdb.com/title/tt0369610/,http://www.rottentomatoes.com/m/jurassic_world/,,652198011.0,47.4329273438,73.0,38.7433264887,7.0,7.5
4,tt0470752,Ex Machina,2015-04-24 00:00:00,UK,English,R,108.0,2015,7.7,194256,"Ex Machina leans heavier on ideas than effects, but it's still a visually polished piece of work -- and an uncommonly engaging sci-fi feature.",199.0,92.0,8.0,216.0,17.0,85.0,4.0,61929.0,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,/wiki/Ex_Machina_(film),http://www.imdb.com/title/tt0470752/,http://www.rottentomatoes.com/m/ex_machina/,,25440971.0,31.5441331243,31.0,45.3086926762,2.0,7.85
7,tt0478970,Ant-Man,2015-07-17 00:00:00,USA,English,PG-13,117.0,2015,7.6,138824,"Led by a charming performance from Paul Rudd, Ant-Man offers Marvel thrills on an appropriately smaller scale -- albeit not as smoothly as its most successful predecessors.",197.0,79.0,6.8,248.0,51.0,88.0,4.1,148048.0,0,0,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,/wiki/Ant-Man_(film),http://www.imdb.com/title/tt0478970/,,,178636091.0,51.5163627246,67.3333333333,51.0362765229,26.0,7.9
10,tt0810819,The Danish Girl,2015-12-25 00:00:00,"UK, Germany, USA","English, German",R,120.0,2015,5.3,2539,,,,,,,,4.1,304.0,0,0,0,0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/wiki/The_Danish_Girl_(film),http://www.imdb.com/title/tt0810819/,http://www.rottentomatoes.com/m/The_Danish_Girl_2015/,,,30.3972299392,25.5,43.2306639288,18.0,6.75
12,tt0884732,The Wedding Ringer,2015-01-16 00:00:00,USA,English,R,101.0,2015,6.7,42323,"Kevin Hart and Josh Gad might be two great comedians that go great together, but there's little evidence of it on display in The Wedding Ringer.",25.0,27.0,4.3,93.0,68.0,65.0,3.6,39352.0,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,/wiki/The_Wedding_Ringer,http://www.imdb.com/title/tt0884732/,http://www.rottentomatoes.com/m/the_wedding_ringer/,,64460211.0,32.9536630905,56.3333333333,39.1293634497,5.0,6.95
15,tt0900387,Suite Française,1929-08-20 00:00:00,"UK, France, Canada, Belgium","English, German, French",,107.0,2014,6.8,6940,,23.0,77.0,6.0,30.0,7.0,,,,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,/wiki/Suite_Fran%C3%A7aise_(film),http://www.imdb.com/title/tt0900387/,http://www.rottentomatoes.com/m/suite_francaise/,,,-40.4330728436,46.3333333333,-38.3655030801,6.0,6.8
18,tt1014763,Child 44,2015-04-17 00:00:00,"USA, UK, Czech Republic, Romania, Russia",English,R,137.0,2015,6.4,28118,"There's a gripping story at the heart of Child 44 and a solid performance from Tom Hardy in the lead, but it all still adds up to a would-be thriller that lacks sufficient thrills.",18.0,25.0,4.7,71.0,53.0,43.0,3.1,11248.0,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,/wiki/Child_44_(film),http://www.imdb.com/title/tt1014763/,,,1206135.0,36.5883890237,44.0,38.0670773443,7.0,6.3
20,tt1018765,Our Brand Is Crisis,2015-10-30 00:00:00,USA,"English, Spanish",R,107.0,2015,5.6,1443,"Our Brand Is Crisis offers sporadic amusement and benefits from a talented cast, but ultimately lacks enough of a bite to add much of interest to the political satire genre.",37.0,33.0,5.3,113.0,76.0,43.0,3.1,5341.0,0,0,0,0,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/wiki/Our_Brand_Is_Crisis_(2015_film),http://www.imdb.com/title/tt1018765/,http://www.rottentomatoes.com/m/our_brand_is_crisis_2016/,,,51.3553235178,62.6666666667,40.5585215606,18.0,5.9
23,tt1029360,Poltergeist,2015-05-22 00:00:00,"USA, Canada",English,PG-13,93.0,2015,5.0,32812,"Paying competent homage without adding anything of real value to the original Poltergeist, this remake proves just as ephemeral (but half as haunting) as its titular spirit.",32.0,31.0,4.8,102.0,70.0,23.0,2.5,35883.0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,/wiki/Poltergeist_(2015_film),http://www.imdb.com/title/tt1029360/,http://www.rottentomatoes.com/m/poltergeist-2009/,,47415690.0,45.5901437372,62.5,38.5954825462,3.0,5.0
25,tt1137470,Accidental Love,2015-02-10 00:00:00,"USA, UK",English,PG-13,100.0,2015,4.1,3562,,2.0,7.0,3.2,29.0,27.0,16.0,2.0,4625.0,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,/wiki/Accidental_Love,http://www.imdb.com/title/tt1137470/,http://www.rottentomatoes.com/m/accidental_love/,,,31.6857175451,24.0,56.476386037,12.0,4.05
27,tt1178665,A Walk in the Woods,2015-09-02 00:00:00,USA,English,R,104.0,2015,6.5,3392,"Amiable yet less compelling than any road trip movie starring Robert Redford and Nick Nolte should be, A Walk in the Woods is ultimately a bit too pedestrian.",62.0,44.0,5.4,140.0,78.0,56.0,3.4,10027.0,0,0,0,0,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/wiki/A_Walk_in_the_Woods_(film),http://www.imdb.com/title/tt1178665/,,,28817976.0,70.7991188262,79.3333333333,58.0424366872,35.0,6.65
30,tt1243974,Aloha,2015-05-29 00:00:00,USA,English,PG-13,105.0,2015,5.5,26271,"Meandering and insubstantial, Aloha finds writer-director Cameron Crowe at his most sentimental and least compelling.",26.0,19.0,4.3,139.0,113.0,30.0,2.6,28683.0,0,0,0,0,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,/wiki/Aloha_(film),http://www.imdb.com/title/tt1243974/,http://www.rottentomatoes.com/m/aloha_2015/,,20991497.0,47.0205741434,51.0,57.8754277892,13.0,5.35
34,tt1322393,Faith of Our Fathers,2015-07-01 00:00:00,USA,English,PG-13,96.0,2015,2.8,339,,,,,,,,,,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/wiki/Faith_of_Our_Fathers_(film),http://www.imdb.com/title/tt1322393/,,,986472.0,47.9054388459,71.5,50.0260095825,2.0,2.8
36,tt1340138,Terminator Genisys,2015-07-01 00:00:00,USA,English,PG-13,126.0,2015,6.7,136706,"Mired in its muddled mythology, Terminator: Genisys is a lurching retread that lacks the thematic depth, conceptual intelligence, or visual thrills that launched this once-mighty franchise.",55.0,25.0,4.7,217.0,162.0,58.0,3.4,78290.0,0,0,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,/wiki/Terminator_Genisys,http://www.imdb.com/title/tt1340138/,http://www.rottentomatoes.com/m/terminator_genesis/,,89760956.0,54.5578479624,42.0,50.4941820671,32.0,6.75
39,tt1355683,Black Mass,2015-09-18 00:00:00,"USA, UK",English,R,122.0,2015,7.2,46099,Black Mass spins a gripping yarn out of its fact-based story -- and leaves audiences with one of Johnny Depp's most compelling performances in years.,171.0,75.0,6.6,229.0,58.0,73.0,3.7,44682.0,0,0,0,0,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/wiki/Black_Mass_(film),http://www.imdb.com/title/tt1355683/,http://www.rottentomatoes.com/m/black_mass_2015/,,57557218.0,42.6509300818,56.5,45.711156742,3.0,7.3
43,tt1390411,In the Heart of the Sea,2015-12-11 00:00:00,USA,English,PG-13,121.0,2015,,,,,,,,,,4.1,24469.0,0,0,0,0,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/wiki/In_the_Heart_of_the_Sea_(film),http://www.imdb.com/title/tt1390411/,,,,36.8532238193,37.5,61.7796030116,38.0,
45,tt1392190,Mad Max: Fury Road,2015-05-15 00:00:00,"Australia, USA","English, Russian",R,120.0,2015,8.2,370371,"With exhilarating action and a surprising amount of narrative heft, Mad Max: Fury Road brings George Miller's post-apocalyptic franchise roaring vigorously back to life.",304.0,97.0,8.6,313.0,9.0,87.0,4.2,110277.0,0,0,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,/wiki/Mad_Max:_Fury_Road,http://www.imdb.com/title/tt1392190/,http://www.rottentomatoes.com/m/mad_max_fury_road/,,153636354.0,34.5988645972,45.3333333333,70.1984941821,16.0,8.3
48,tt1398426,Straight Outta Compton,2015-08-14 00:00:00,USA,English,R,147.0,2015,8.1,56216,"Straight Outta Compton is a biopic that's built to last, thanks to F. Gary Gray's confident direction and engaging performances from a solid cast.",164.0,89.0,7.4,184.0,20.0,94.0,4.4,59150.0,0,0,0,0,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,/wiki/Straight_Outta_Compton_(2015_film),http://www.imdb.com/title/tt1398426/,http://www.rottentomatoes.com/m/straight_outta_compton/,,160902085.0,1.62691517928,6.5,46.0752908966,21.0,8.45
50,tt1502712,Fantastic Four,2015-08-07 00:00:00,"USA, Germany, UK, Canada",English,PG-13,100.0,2015,4.3,75679,"Dull and downbeat, this Fantastic Four proves a woefully misguided attempt to translate a classic comic series without the humor, joy, or colorful thrills that made it great.",19.0,10.0,3.4,198.0,179.0,20.0,2.1,132178.0,0,0,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,/wiki/Fantastic_Four_(2015_film),http://www.imdb.com/title/tt1502712/,,,56086051.0,30.4958805486,36.0,31.4633812457,3.0,4.25
53,tt1524575,The Vatican Tapes,2015-07-24 00:00:00,USA,"English, Aramaic",PG-13,91.0,2015,4.5,4118,,6.0,18.0,4.0,33.0,27.0,21.0,2.3,1816.0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,/wiki/The_Vatican_Tapes,http://www.imdb.com/title/tt1524575/,http://www.rottentomatoes.com/m/the_vatican_tapes/,,1712111.0,44.3338779058,68.5,42.2012320329,5.0,4.55
55,tt1524930,Vacation,2015-07-29 00:00:00,USA,English,R,99.0,2015,6.2,33638,"Borrowing a basic storyline from the film that inspired it but forgetting the charm, wit, and heart, Vacation is yet another nostalgia-driven retread that misses the mark.",40.0,27.0,4.1,147.0,107.0,51.0,3.2,33745.0,0,0,0,0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/wiki/Vacation_(2015_film),http://www.imdb.com/title/tt1524930/,http://www.rottentomatoes.com/m/vacation_2013/,,58787835.0,36.3363273797,59.6666666667,30.0232717317,3.0,6.3
58,tt1596345,Pawn Sacrifice,2015-09-25 00:00:00,USA,English,PG-13,115.0,2014,7.2,2849,"Anchored by a sensitive performance from Tobey Maguire, Pawn Sacrifice adds another solidly gripping drama to the list of films inspired by chess wiz Bobby Fischer.",57.0,70.0,6.5,81.0,24.0,72.0,3.7,9642.0,0,0,0,0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/wiki/Pawn_Sacrifice,http://www.imdb.com/title/tt1596345/,http://www.rottentomatoes.com/m/pawn_sacrifice/,,2322375.63462,46.5007039393,61.5,62.9623545517,23.0,7.3
60,tt1596363,The Big Short,2015-12-23 00:00:00,USA,English,,130.0,2015,8.2,48,,,,,,,,4.1,2278.0,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,47.9660506502,62.5,47.6824093087,18.0,8.2
62,tt1617661,Jupiter Ascending,2015-02-06 00:00:00,"USA, Australia","English, Russian",PG-13,127.0,2015,5.4,118592,"Pleasing to the eye but narratively befuddled, Jupiter Ascending delivers another visually thrilling misfire from the Wachowskis.",55.0,26.0,4.2,212.0,157.0,39.0,2.9,93837.0,0,0,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,/wiki/Jupiter_Ascending,http://www.imdb.com/title/tt1617661/,http://www.rottentomatoes.com/m/jupiter_ascending_2014/,,47387723.0,32.8985626283,41.6666666667,47.1074606434,11.0,5.6
65,tt1618442,The Last Witch Hunter,2015-10-23 00:00:00,"USA, China, Canada",English,PG-13,106.0,2015,6.1,12503,"Grim, plodding, and an overall ill fit for Vin Diesel's particular charms, The Last Witch Hunter will bore and/or confuse all but the least demanding action-fantasy fans.",17.0,16.0,3.8,107.0,90.0,49.0,3.2,31517.0,0,0,0,0,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,/wiki/The_Last_Witch_Hunter,http://www.imdb.com/title/tt1618442/,http://www.rottentomatoes.com/m/the_last_witch_hunter/,,,37.4873944787,48.0,44.8295687885,9.0,6.25
68,tt1638355,The Man from U.N.C.L.E.,2015-08-14 00:00:00,"USA, UK","English, Russian, German, Italian",PG-13,116.0,2015,7.4,90361,"The Man from U.N.C.L.E. tries to distract from an unremarkable story with charismatic stars and fizzy set pieces, adding up to an uneven action thriller with just enough style to overcome its lack of substance.",143.0,67.0,6.2,214.0,71.0,78.0,3.8,40072.0,0,0,0,0,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/wiki/The_Man_from_U.N.C.L.E._(film),http://www.imdb.com/title/tt1638355/,,,45372659.0,29.1288834369,25.6666666667,46.9240246407,13.0,7.5
71,tt1658801,Freeheld,2015-11-05 00:00:00,USA,English,PG-13,103.0,2015,6.3,675,,,,,,,,,,0,0,0,0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,/wiki/Freeheld_(2015_film),http://www.imdb.com/title/tt1658801/,http://www.rottentomatoes.com/m/771417802/,,144419.0,48.012151958,62.3333333333,39.8439425051,8.0,6.3
74,tt1661199,Cinderella,2015-03-13 00:00:00,"USA, UK",English,PG,105.0,2015,7.1,78660,"Refreshingly traditional in a revisionist era, Kenneth Branagh's Cinderella proves Disney hasn't lost any of its old-fashioned magic.",167.0,85.0,7.2,197.0,30.0,79.0,4.0,73831.0,0,0,0,0,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,/wiki/Cinderella_(2015_film),http://www.imdb.com/title/tt1661199/,http://www.rottentomatoes.com/m/cinderella_2013/,,201148159.0,43.7531767997,46.0,54.2532511978,19.0,7.55
78,tt1663202,The Revenant,2016-01-08 00:00:00,USA,English,R,156.0,2015,,,,,,,,,,,,0,0,0,0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,/wiki/The_Revenant_(2015_film),http://www.imdb.com/title/tt1663202/,,,,37.6060470791,38.3333333333,52.3997262149,15.0,
81,tt1674771,Entourage,2015-06-03 00:00:00,USA,English,R,104.0,2015,6.7,44182,"Entourage retains many elements of the HBO series, but feels less like a film than a particularly shallow, cameo-studded extended episode of the show.",56.0,32.0,4.6,177.0,121.0,63.0,3.6,29586.0,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/wiki/Entourage_(film),http://www.imdb.com/title/tt1674771/,http://www.rottentomatoes.com/m/entourage/,,32361416.0,38.8768471487,31.6666666667,47.1567419576,6.0,6.95
84,tt1727770,Absolutely Anything,2015-08-14 00:00:00,"UK, USA","English, French",,85.0,2015,6.1,2109,,2.0,9.0,3.0,23.0,21.0,,,,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,/wiki/Absolutely_Anything,http://www.imdb.com/title/tt1727770/,http://www.rottentomatoes.com/m/absolutely_anything/,,,44.2744749309,63.5,73.53045859,16.0,6.1
86,tt1727776,Scouts Guide to the Zombie Apocalypse,2015-10-30 00:00:00,USA,English,R,93.0,2015,6.5,3021,"Scouts Guide to the Zombie Apocalypse fails to live up to its intriguingly wacky title, instead delivering yet another zombie comedy-thriller with a tired T&A twist.",32.0,44.0,4.7,73.0,41.0,55.0,3.4,6195.0,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,/wiki/Scouts_Guide_to_the_Zombie_Apocalypse,http://www.imdb.com/title/tt1727776/,,,,22.0806330445,20.5,40.6707734428,5.0,6.65
88,tt1781922,No Escape,2015-08-26 00:00:00,USA,"English, French, Thai",R,103.0,2015,6.8,23216,No Escape's talented cast and taut B-movie thrills are unfortunately offset by its one-dimensional characters and uncomfortably retrograde worldview.,60.0,46.0,4.9,130.0,70.0,66.0,3.6,14662.0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,/wiki/No_Escape_(2015_film),http://www.imdb.com/title/tt1781922/,http://www.rottentomatoes.com/m/no_escape_2015/,,27051218.0,42.2923708735,52.0,42.6475017112,7.0,7.0
90,tt1798684,Southpaw,2015-07-24 00:00:00,USA,English,R,124.0,2015,7.5,98250,,,,,,,,,,0,0,0,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,/wiki/Southpaw_(film),http://www.imdb.com/title/tt1798684/,http://www.rottentomatoes.com/m/southpaw_2013/,,52316554.0,35.5792075443,36.0,49.5085557837,20.0,7.5
92,tt1810683,Little Boy,2015-04-24 00:00:00,"USA, Mexico",English,PG-13,106.0,2015,7.4,10996,"Well-meaning but manipulative on a horrifically misguided scale, Little Boy is the rare faith-based film that many viewers may find legitimately offensive.",10.0,21.0,4.4,47.0,37.0,80.0,4.1,7365.0,0,0,0,0,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,/wiki/Little_Boy_(film),http://www.imdb.com/title/tt1810683/,,,6420319.0,48.890994928,39.0,37.7796030116,4.0,7.8
94,tt1823672,Chappie,2015-03-06 00:00:00,"USA, Mexico",English,R,120.0,2015,6.9,142699,"Chappie boasts more of the big ideas and visual panache that director Neill Blomkamp has become known for -- and, sadly, more of the narrative shortcomings.",57.0,31.0,4.9,184.0,127.0,57.0,3.4,47365.0,0,0,0,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,/wiki/Chappie_(film),http://www.imdb.com/title/tt1823672/,http://www.rottentomatoes.com/m/chappie/,,31569268.0,33.3336866044,15.5,35.4661190965,9.0,6.85
96,tt1837562,A Royal Night Out,2015-12-04 00:00:00,UK,English,PG-13,97.0,2015,6.4,2123,,,,,,,,,,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,/wiki/A_Royal_Night_Out,http://www.imdb.com/title/tt1837562/,,,,35.8734599589,42.6666666667,55.5537303217,31.0,6.4
99,tt1850457,Sisters,2015-12-18 00:00:00,USA,English,R,118.0,2015,,,,,,,,,,0.0,63.0,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/wiki/Sisters_(2015_film),http://www.imdb.com/title/tt1850457/,http://www.rottentomatoes.com/m/sisters_2015/,,,38.3569455766,49.75,45.1553730322,9.0,
