,imdbID,Title,Released,Country,Language,Rated,Runtime,Year,imdbRating,imdbVotes,tomatoConsensus,tomatoFresh,tomatoMeter,tomatoRating,tomatoReviews,tomatoRotten,tomatoUserMeter,tomatoUserRating,tomatoUserReviews,Nominated Oscars,Won Oscars,Other wins,Other nominations,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,N/A,Romance,Sci-Fi,Sport,Thriller,War,Western,wiki_url_new,imdb_link_new,rt_link_new,budget_USD,box_USD,A_mean_age,A_mean_credit,D_mean_age,D_mean_credit,mean_rate
103,tt1883367,The Human Centipede III (Final Sequence),2015-06-18 00:00:00,USA,English,NOT RATED,102.0,2015,3.0,5906,"Human Centipede fans may find enough extreme body horror in the third installment to satisfy, but filmgoers of every other persuasion are strongly advised to stay far, far away from Final Sequence.",8.0,19.0,2.2,43.0,35.0,9.0,1.4,2257.0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,/wiki/The_Human_Centipede_3_(Final_Sequence),http://www.imdb.com/title/tt1883367/,http://www.rottentomatoes.com/m/the_human_centipede_iii/,,,49.4912640945,294.5,41.8015058179,6.0,2.9
105,tt1895587,Spotlight,2015-12-31 00:00:00,USA,English,R,128.0,2015,8.2,1545,"Spotlight gracefully handles the lurid details of its fact-based story while resisting the temptation to lionize its heroes, resulting in a drama that honors the audience as well as its real-life subjects.",158.0,98.0,9.0,162.0,4.0,96.0,4.5,20798.0,0,0,0,0,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,/wiki/Spotlight_(film),http://www.imdb.com/title/tt1895587/,,,,51.4816029081,59.5,49.916495551,5.0,8.6
109,tt1951266,The Hunger Games: Mockingjay - Part 2,2015-11-20 00:00:00,"USA, Germany",English,PG-13,137.0,2015,7.1,57669,,,,,,,,,,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,/wiki/The_Hunger_Games:_Mockingjay_%E2%80%93_Part_2,http://www.imdb.com/title/tt1951266/,http://www.rottentomatoes.com/m/the_hunger_games_mockingjay_part_2//,,167962341.0,24.3889831265,30.6666666667,44.6543463381,18.0,7.1
112,tt1964418,Tomorrowland,2015-05-22 00:00:00,"USA, Spain","English, French, Japanese",PG,130.0,2015,6.5,89070,"Ambitious and visually stunning, Tomorrowland is unfortunately weighted down by uneven storytelling.",118.0,50.0,5.9,235.0,117.0,51.0,3.3,85298.0,0,0,0,0,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,/wiki/Tomorrowland_(film),http://www.imdb.com/title/tt1964418/,,,93417865.0,49.1000435567,73.3333333333,57.6563997262,11.0,6.55
115,tt1976009,Victor Frankenstein,2015-11-25 00:00:00,USA,English,PG-13,109.0,2015,,,,,,,,,,,,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,/wiki/Victor_Frankenstein_(film),http://www.imdb.com/title/tt1976009/,http://www.rottentomatoes.com/m/victor_frankenstein_2015/,,,31.5582537273,30.6666666667,52.1834360027,18.0,
118,tt2006295,The 33,2015-11-13 00:00:00,"USA, Chile","English, Spanish",PG-13,127.0,2015,7.0,5753,"The 33 offers an appropriately inspirational account of real-life heroism, but its stirring story and solid performances are undermined by a flawed focus and an overreliance on formula.",44.0,41.0,5.5,107.0,63.0,66.0,3.7,6613.0,0,0,0,0,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,/wiki/The_33_(film),http://www.imdb.com/title/tt2006295/,http://www.rottentomatoes.com/m/the_33/,,,49.9576263969,72.3333333333,45.4483230664,8.0,7.2
121,tt2080374,Steve Jobs,2015-10-23 00:00:00,USA,English,R,122.0,2015,7.7,11386,"Like the tech giant co-founded by its subject, Steve Jobs gathers brilliant people to deliver a product whose elegance belies the intricate complexities at its core.",175.0,84.0,7.6,208.0,33.0,77.0,3.8,29325.0,0,0,0,0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/wiki/Steve_Jobs_(2015_film),http://www.imdb.com/title/tt2080374/,,,521522.0,36.7975608238,55.0,59.0061601643,26.0,7.65
124,tt2096673,Inside Out,2015-06-19 00:00:00,USA,English,PG,94.0,2015,8.4,180018,"Inventive, gorgeously animated, and powerfully moving, Inside Out is another outstanding addition to the Pixar library of modern animated classics.",272.0,98.0,9.0,277.0,5.0,90.0,4.3,117943.0,0,0,0,0,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/wiki/Inside_Out_(2015_film),http://www.imdb.com/title/tt2096673/,http://www.rottentomatoes.com/m/the_inside_out/,,356285830.0,40.2498666767,81.5,46.6913073238,8.0,8.5
126,tt2097298,"McFarland, USA",2015-02-20 00:00:00,USA,"English, Spanish",PG,129.0,2015,7.5,17552,"Disney's inspirational sports drama formula might be old hat, but McFarland, USA proves it still works -- especially with a talented director and eminently likable star in the mix.",92.0,79.0,6.7,116.0,24.0,89.0,4.2,25419.0,0,0,0,0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,"/wiki/McFarland,_USA",http://www.imdb.com/title/tt2097298/,,,44469602.0,60.090349076,54.0,48.1368925394,10.0,7.95
127,tt2118624,The Final Girls,2015-10-09 00:00:00,USA,English,PG-13,88.0,2015,6.8,9335,The Final Girls offers an affectionate nod to slasher tropes while adding a surprising layer of genuine emotion to go with the meta amusement.,39.0,72.0,6.4,54.0,15.0,73.0,3.7,3563.0,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,/wiki/The_Final_Girls,http://www.imdb.com/title/tt2118624/,http://www.rottentomatoes.com/m/The_Final_Girls/,,,34.4526165142,33.0,35.2908966461,25.0,7.1
129,tt2120120,Pixels,2015-07-24 00:00:00,"USA, China, Canada",English,PG-13,106.0,2015,5.7,56085,"Much like the worst arcade games from the era that inspired it, Pixels has little replay value and is hardly worth a quarter.",27.0,17.0,3.8,160.0,133.0,50.0,3.2,65066.0,0,0,0,0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,/wiki/Pixels_(2015_film),http://www.imdb.com/title/tt2120120/,,,78747585.0,46.2026776181,41.6666666667,56.8678986995,19.0,6.05
132,tt2126355,San Andreas,2015-05-29 00:00:00,"USA, Australia, Canada",English,PG-13,114.0,2015,6.2,107459,"San Andreas has a great cast and outstanding special effects, but amidst all the senses-shattering destruction, the movie's characters and plot prove less than structurally sound.",97.0,50.0,5.3,194.0,97.0,55.0,3.4,61576.0,0,0,0,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,/wiki/San_Andreas_(film),http://www.imdb.com/title/tt2126355/,,,155181732.0,41.0419856357,72.3333333333,36.4052019165,15.0,6.5
135,tt2140379,Self/less,2015-07-10 00:00:00,USA,English,PG-13,117.0,2015,6.5,33731,"Self/less boasts a potential-packed premise, but does frustratingly little with it, settling for lackluster action at the expense of interesting ideas.",26.0,21.0,4.6,122.0,96.0,49.0,3.2,21594.0,0,0,0,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,/wiki/Self/less,http://www.imdb.com/title/tt2140379/,http://www.rottentomatoes.com/m/selfless_2015/,,12276810.0,36.9334215014,39.3333333333,54.12183436,8.0,6.45
138,tt2199571,Run All Night,2015-03-13 00:00:00,USA,English,R,114.0,2015,6.6,60909,"Liam Neeson is in typically fine form, but Run All Night suffers from a convoluted plot and workmanlike execution.",96.0,60.0,5.7,159.0,63.0,58.0,3.4,20023.0,0,0,0,0,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/wiki/Run_All_Night_(film),http://www.imdb.com/title/tt2199571/,http://www.rottentomatoes.com/m/run_all_night/,,26442251.0,58.9195908742,82.3333333333,40.9719370294,9.0,6.7
141,tt2231253,Wild Card,2015-01-14 00:00:00,USA,English,R,92.0,2015,5.6,30150,"Hardcore Jason Statham fans may enjoy parts of Wild Card, but all other action aficionados need not apply.",13.0,27.0,4.8,48.0,35.0,29.0,2.8,7176.0,0,0,0,0,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/wiki/Wild_Card_(2015_film),http://www.imdb.com/title/tt2231253/,http://www.rottentomatoes.com/m/heat_2013/,,,35.3899354224,38.3333333333,54.0342231348,19.0,5.6
144,tt2245003,Miss You Already,2015-09-25 00:00:00,UK,English,PG-13,112.0,2015,6.6,717,,,,,,,,,,0,0,0,0,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,/wiki/Miss_You_Already,http://www.imdb.com/title/tt2245003/,http://www.rottentomatoes.com/m/miss_you_already/,,,40.4348544862,61.0,59.9288158795,14.0,6.6
147,tt2273657,True Story,2015-04-17 00:00:00,USA,"English, Ibo",R,99.0,2015,6.3,24988,"James Franco and Jonah Hill make a watchable pair, but True Story loses their performances -- and the viewer's interest -- in a muddled movie that bungles its fact-based tale.",64.0,45.0,5.5,143.0,79.0,40.0,3.1,18737.0,0,0,0,0,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,/wiki/True_Story_(film),http://www.imdb.com/title/tt2273657/,http://www.rottentomatoes.com/m/true_story_2014/,,4715819.0,34.6450843892,68.3333333333,43.2908966461,3.0,6.25
150,tt2279373,The SpongeBob Movie: Sponge Out of Water,2015-02-06 00:00:00,USA,English,PG,92.0,2015,6.1,29075,"The SpongeBob Movie: Sponge Out of Water won't win over many viewers who aren't fans of the show, but for the converted, it's another colorful burst of manic fun.",73.0,78.0,6.5,93.0,20.0,55.0,3.4,50048.0,0,0,0,0,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/wiki/The_SpongeBob_Movie:_Sponge_Out_of_Water,http://www.imdb.com/title/tt2279373/,http://www.rottentomatoes.com/m/the_spongebob_movie_sponge_out_of_water/,,162495848.0,54.4914442163,94.0,46.7351129363,3.0,6.45
151,tt2322441,Fifty Shades of Grey,2015-02-13 00:00:00,USA,English,R,125.0,2015,4.1,192153,,,,,,,,,,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,/wiki/Fifty_Shades_of_Grey_(film),http://www.imdb.com/title/tt2322441/,,,166167230.0,36.6923089765,27.3333333333,47.947980835,6.0,4.1
154,tt2361509,The Intern,2015-09-25 00:00:00,USA,English,PG-13,121.0,2015,7.4,24784,"The Intern doesn't do enough with its timely premise, but benefits from the unorthodox chemistry of its talented leads.",90.0,60.0,5.7,151.0,61.0,78.0,3.9,30904.0,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/wiki/The_Intern_(2015_film),http://www.imdb.com/title/tt2361509/,,,49592234.0,62.1289044571,56.6666666667,65.7960301164,6.0,7.6
157,tt2379713,Spectre,2015-11-06 00:00:00,"UK, USA","English, Spanish, Italian, German, French",PG-13,148.0,2015,7.1,126636,"Spectre nudges Daniel Craig's rebooted Bond closer to the glorious, action-driven spectacle of earlier entries, although it's admittedly reliant on established 007 formula.",178.0,64.0,6.4,280.0,102.0,66.0,3.6,82501.0,0,0,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,/wiki/Spectre_(2015_film),http://www.imdb.com/title/tt2379713/,http://www.rottentomatoes.com/m/spectre_2015/,,168541967.0,50.6181975379,69.6666666667,50.264202601,8.0,7.15
160,tt2381249,Mission: Impossible - Rogue Nation,2015-07-31 00:00:00,USA,"English, Swedish, German",PG-13,131.0,2015,7.5,160094,Mission: Impossible Rogue Nation continues the franchise's thrilling resurgence -- and proves that Tom Cruise remains an action star without equal.,231.0,92.0,7.4,250.0,19.0,89.0,4.1,81799.0,0,0,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,/wiki/Mission:_Impossible_%E2%80%93_Rogue_Nation,http://www.imdb.com/title/tt2381249/,http://www.rottentomatoes.com/m/mission_impossible_rogue_nation/,,195042377.0,45.7289386594,48.5,47.5783709788,4.0,7.85
164,tt2395427,Avengers: Age of Ultron,2015-05-01 00:00:00,USA,English,PG-13,141.0,2015,7.7,336332,"Exuberant and eye-popping, Avengers: Age of Ultron serves as an overstuffed but mostly satisfying sequel, reuniting its predecessor's unwieldy cast with a few new additions and a worthy foe.",213.0,74.0,6.7,287.0,74.0,85.0,4.1,278217.0,0,0,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,/wiki/Avengers:_Age_of_Ultron,http://www.imdb.com/title/tt2395427/,,,459005868.0,43.7767559039,53.25,50.8528405202,13.0,7.95
168,tt2401878,Anomalisa,2016-01-01 00:00:00,USA,English,R,90.0,2015,8.1,1019,,,,,,,,,,0,0,0,0,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/wiki/Anomalisa,http://www.imdb.com/title/tt2401878/,,,,56.8161392516,84.3333333333,36.7857631759,6.0,8.1
171,tt2402927,Carol,2015-11-20 00:00:00,"UK, USA, France",English,R,118.0,2015,7.5,2660,,,,,,,,,,0,0,0,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,/wiki/Carol_(film),http://www.imdb.com/title/tt2402927/,,,,41.6324124199,44.0,54.8802190281,16.0,7.5
173,tt2446980,Joy,2015-12-25 00:00:00,USA,English,PG-13,,2015,,,,,,,,,,3.6,14181.0,0,0,0,0,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/wiki/Joy_(film),http://www.imdb.com/title/tt2446980/,,,,56.4260327601,63.0,57.3470225873,12.0,
176,tt2488496,Star Wars: The Force Awakens,2015-12-18 00:00:00,USA,English,PG-13,135.0,2015,,,,,,,,,,4.7,81151.0,0,0,0,0,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,/wiki/Star_Wars:_The_Force_Awakens,http://www.imdb.com/title/tt2488496/,,,,63.0207420326,182.5,49.4757015743,12.0,
178,tt2503944,Burnt,2015-10-30 00:00:00,USA,"French, English, Spanish",R,101.0,2015,6.7,5438,,,,,,,,,,0,0,0,0,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/wiki/Burnt_(film),http://www.imdb.com/title/tt2503944/,http://www.rottentomatoes.com/m/burnt/,,,37.7990168627,51.3333333333,59.4223134839,7.0,6.7
181,tt2510894,Hotel Transylvania 2,2015-09-25 00:00:00,USA,English,PG,89.0,2015,7.0,16929,"Hotel Transylvania 2 is marginally better than the original, which may or may not be enough of a recommendation to watch 89 minutes of corny, colorfully animated gags from Adam Sandler and company.",43.0,52.0,5.1,83.0,40.0,70.0,3.8,79262.0,0,0,0,0,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,/wiki/Hotel_Transylvania_2,http://www.imdb.com/title/tt2510894/,http://www.rottentomatoes.com/m/hotel_transylvania_2/,,116942033.0,40.5019768893,42.5,45.6865160849,17.0,7.3
185,tt2515034,The Gunman,2015-03-20 00:00:00,"USA, Spain, UK, France","English, Spanish",R,115.0,2015,5.8,22011,"With an uninspired plot and rote set pieces that are overshadowed by its star's physique, The Gunman proves a muddled misfire in the rapidly aging Over-50 Action Hero genre.",24.0,16.0,4.4,150.0,126.0,33.0,2.8,12978.0,0,0,0,0,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/wiki/The_Gunman_(film),http://www.imdb.com/title/tt2515034/,http://www.rottentomatoes.com/m/prone_gunman/,,10640645.0,54.6473826742,69.0,50.8528405202,9.0,5.7
188,tt2552394,Barney Thomson,2015-07-24 00:00:00,"Canada, UK",English,,96.0,2015,6.9,523,,,,,,,,,,0,0,0,0,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/wiki/The_Legend_of_Barney_Thomson,http://www.imdb.com/title/tt2552394/,,,,60.4900214315,76.25,54.2751540041,2.0,6.9
192,tt2554274,Crimson Peak,2015-10-16 00:00:00,"USA, Canada",English,R,119.0,2015,6.9,33440,Crimson Peak offers an engaging -- albeit somewhat slight -- diversion driven by a delightfully creepy atmosphere and director Guillermo del Toro's brilliant knack for unforgettable visuals.,135.0,69.0,6.5,195.0,60.0,61.0,3.4,28569.0,0,0,0,0,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,/wiki/Crimson_Peak,http://www.imdb.com/title/tt2554274/,,,761069.0,33.5186271634,37.3333333333,51.0171115674,18.0,6.85
195,tt2555736,The Second Best Exotic Marigold Hotel,2015-03-06 00:00:00,"UK, USA",English,PG,122.0,2015,6.6,16217,"The Second Best Exotic Marigold Hotel is about as original as its title -- but with a cast this talented and effortlessly charming, that hardly matters.",95.0,62.0,6.0,153.0,58.0,61.0,3.5,17135.0,0,0,0,0,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/wiki/The_Second_Best_Exotic_Marigold_Hotel,http://www.imdb.com/title/tt2555736/,,,33071558.0,71.4517093555,47.5,65.9082819986,25.0,6.8
197,tt2561572,Get Hard,2015-03-27 00:00:00,USA,English,R,100.0,2015,6.1,62146,"A waste of two fine funnymen, Get Hard settles for tired and offensive gags instead of tapping into its premise's boundary-pushing potential.",45.0,29.0,4.3,155.0,110.0,47.0,3.2,51295.0,0,0,0,0,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/wiki/Get_Hard,http://www.imdb.com/title/tt2561572/,http://www.rottentomatoes.com/m/get_hard/,,90353764.0,40.3545911652,69.3333333333,41.2320328542,4.0,6.25
200,tt2637276,Ted 2,2015-06-26 00:00:00,USA,English,R,115.0,2015,6.5,73240,"Ted 2 reunites Mark Wahlberg and Seth MacFarlane for another round of sophomoric, scatological humor -- and just as before, your enjoyment will depend on your tolerance for all of the above.",80.0,46.0,5.2,175.0,95.0,57.0,3.4,57133.0,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/wiki/Ted_2,http://www.imdb.com/title/tt2637276/,http://www.rottentomatoes.com/m/ted_2/,,81257500.0,38.5653079354,47.0,41.6646132786,10.0,6.65
203,tt2637294,Hot Tub Time Machine 2,2015-02-20 00:00:00,USA,English,R,93.0,2015,5.1,22168,"A shallow dip overflowing with juvenile humor, Hot Tub Time Machine 2 is a lukewarm sequel that's healthiest to avoid.",13.0,14.0,3.3,94.0,81.0,28.0,2.6,34553.0,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,/wiki/Hot_Tub_Time_Machine_2,http://www.imdb.com/title/tt2637294/,http://www.rottentomatoes.com/m/hot_tub_time_machine_2/,,12282677.0,41.3669971796,64.25,-0.755646817248,12.0,5.15
207,tt2717822,Blackhat,2015-01-16 00:00:00,USA,"English, Mandarin, Spanish",R,133.0,2015,5.4,32017,"Thematically timely but dramatically inert, Blackhat strands Chris Hemsworth in a muddled misfire from director Michael Mann.",53.0,34.0,4.9,157.0,104.0,24.0,2.5,19310.0,0,0,0,0,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/wiki/Blackhat_(film),http://www.imdb.com/title/tt2717822/,http://www.rottentomatoes.com/m/blackhat/,,7097125.0,43.2570511459,38.6666666667,71.9452429843,20.0,5.2
210,tt2719848,Everest,2015-09-25 00:00:00,"UK, USA, Iceland",English,PG-13,121.0,2015,7.2,56973,,,,,,,,,,0,0,0,0,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/wiki/Everest_(2015_film),http://www.imdb.com/title/tt2719848/,http://www.rottentomatoes.com/m/everest_2015/,,38253250.0,42.3109886587,39.5,49.5742642026,13.0,7.2
212,tt2726560,The Longest Ride,2015-04-10 00:00:00,USA,English,PG-13,128.0,2015,7.1,35042,"The Longest Ride is less manipulative than the average Nicholas Sparks film, but it's still saccharine and hopelessly contrived -- not that it'll matter to the target audience.",32.0,30.0,4.3,107.0,75.0,73.0,3.9,28975.0,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,/wiki/The_Longest_Ride_(film),http://www.imdb.com/title/tt2726560/,http://www.rottentomatoes.com/m/the_longest_ride/,,37432299.0,50.5947980835,45.3333333333,46.2012320329,10.0,7.45
